Image,PSNR,SSIM
COVID-1.png,45.97832489013672,0.99576634
COVID-10.png,47.350975036621094,0.9943978
COVID-100.png,44.35346603393555,0.9946806
COVID-1000.png,43.985076904296875,0.9946143
COVID-1001.png,42.62541961669922,0.9938958
COVID-1002.png,43.73867416381836,0.9940653
COVID-1003.png,45.11135482788086,0.9944255
COVID-1004.png,44.12857437133789,0.99358225
COVID-1005.png,43.43795394897461,0.99231106
COVID-1006.png,45.927791595458984,0.99355197
COVID-1007.png,40.89948272705078,0.98534495
COVID-1008.png,44.74927520751953,0.99263716
COVID-1009.png,44.16355895996094,0.993326
COVID-101.png,45.65032196044922,0.99426705
COVID-1010.png,43.91880798339844,0.9940908
COVID-1011.png,42.02388381958008,0.9941041
COVID-1012.png,46.36827850341797,0.9941597
COVID-1013.png,42.77808380126953,0.98877144
COVID-1014.png,41.990562438964844,0.99289435
COVID-1015.png,44.61885070800781,0.99346465
COVID-1016.png,42.555091857910156,0.99312806
COVID-1017.png,39.88086700439453,0.9919656
COVID-1018.png,45.381675720214844,0.99450415
COVID-1019.png,43.99732208251953,0.9926517
COVID-102.png,46.00858688354492,0.993119
COVID-1020.png,46.68491744995117,0.9931434
COVID-1021.png,41.998233795166016,0.99361515
COVID-1022.png,44.94607925415039,0.9923784
COVID-1023.png,47.45392608642578,0.99465746
COVID-1024.png,44.88505935668945,0.9934184
COVID-1025.png,45.080345153808594,0.99257237
COVID-1026.png,45.80525207519531,0.9941838
COVID-1027.png,44.16733169555664,0.9943927
COVID-1028.png,42.520225524902344,0.99345666
COVID-1029.png,44.412960052490234,0.9937065
COVID-103.png,43.89440155029297,0.99423105
COVID-1030.png,44.511505126953125,0.9945367
COVID-1031.png,43.80588150024414,0.9929597
COVID-1032.png,45.3189697265625,0.99400955
COVID-1033.png,44.746002197265625,0.99416614
COVID-1034.png,44.05473327636719,0.99387795
COVID-1035.png,47.74604797363281,0.99389166
COVID-1036.png,44.80931854248047,0.9937951
COVID-1037.png,44.29176330566406,0.9862347
COVID-1038.png,42.860103607177734,0.99414635
COVID-1039.png,46.210025787353516,0.9950432
COVID-104.png,49.049930572509766,0.99549556
COVID-1040.png,46.031436920166016,0.9933024
COVID-1041.png,44.362388610839844,0.9948172
COVID-1042.png,45.735870361328125,0.99340296
