Image,PSNR,SSIM
COVID-1.png,39.26215362548828,0.99042255
COVID-10.png,39.84392547607422,0.9888687
COVID-100.png,34.89194107055664,0.9857688
COVID-1000.png,36.68769454956055,0.9880361
COVID-1001.png,37.32035827636719,0.98565704
COVID-1002.png,37.45268249511719,0.9879067
COVID-1003.png,37.81779479980469,0.9858341
COVID-1004.png,38.805320739746094,0.9875839
COVID-1005.png,37.578887939453125,0.98492044
COVID-1006.png,39.38633728027344,0.98721623
COVID-1007.png,36.67763900756836,0.9729681
COVID-1008.png,38.1949462890625,0.9856191
COVID-1009.png,37.13568878173828,0.98468345
COVID-101.png,37.072654724121094,0.98586535
COVID-1010.png,38.32090759277344,0.98722094
COVID-1011.png,35.93572235107422,0.98723096
COVID-1012.png,39.6016845703125,0.98813105
COVID-1013.png,38.40049362182617,0.98244447
COVID-1014.png,36.42374038696289,0.9851251
COVID-1015.png,39.6189079284668,0.98447555
COVID-1016.png,37.123836517333984,0.9846368
COVID-1017.png,34.3662109375,0.98250836
COVID-1018.png,36.87696838378906,0.9727154
COVID-1019.png,38.086463928222656,0.9865802
COVID-102.png,37.119503021240234,0.98903394
COVID-1020.png,39.706459045410156,0.9874106
COVID-1021.png,36.83576965332031,0.98772836
COVID-1022.png,39.23766326904297,0.9891103
COVID-1023.png,40.16697311401367,0.9900343
COVID-1024.png,34.841552734375,0.98143476
COVID-1025.png,38.8230094909668,0.98793983
COVID-1026.png,39.73387145996094,0.98931783
COVID-1027.png,37.06144714355469,0.98791337
COVID-1028.png,38.299007415771484,0.9878378
COVID-1029.png,38.59103012084961,0.9882739
COVID-103.png,36.99381637573242,0.9859624
COVID-1030.png,37.84149932861328,0.986166
COVID-1031.png,38.32457733154297,0.98840094
COVID-1032.png,38.809783935546875,0.98706865
COVID-1033.png,35.90888595581055,0.98634773
COVID-1034.png,38.527809143066406,0.9877672
COVID-1035.png,38.71775817871094,0.9872567
COVID-1036.png,35.306583404541016,0.98500365
COVID-1037.png,38.53750228881836,0.9749754
COVID-1038.png,35.656009674072266,0.9853468
COVID-1039.png,37.97468566894531,0.98899335
COVID-104.png,40.350860595703125,0.98947126
COVID-1040.png,38.91676330566406,0.9861629
COVID-1041.png,38.6136589050293,0.9884593
COVID-1042.png,38.883880615234375,0.9884121
